DISTRICTS;YEAR;YIELD;NDVI_JUN;NDVI_JUL;NDVI_AUG;NDVI_SEP;NDVI_OCT;NDVI_NOV;LAI_JUN;LAI_JUL;LAI_AUG;LAI_SEP;LAI_OCT;LAI_NOV;ET_JUN;ET_JUL;ET_AUG;ET_SEP;ET_OCT;ET_NOV;LST_JUN;LST_JUL;LST_AUG;LST_SEP;LST_OCT;LST_NOV;RF_JUN;RF_JUL;RF_AUG;RF_SEP;RF_OCT;RF_NOV;YIELD_N1
Dewas;2012;1.598;0.295452;0.380205;0.473339;0.568939;0.465531;0.433514;0.334114;0.24645;0.614736;1.424622;0.934336;0.72742;2.941261;20.25238;20.22076;23.11521;11.13775;6.377305;316.3075;311.0486;301.5945;304.5931;308.3851;305.1182;1.977059;15.141;9.555104;6.56191;0.289514;0.219742;1.288999
Dhar;2012;1.593001;0.200132;0.247278;0.461117;0.535135;0.415554;0.382535;0.25055;0.276384;0.898924;1.478044;0.820559;0.574731;2.690152;17.92638;18.10709;21.83812;9.362536;5.090285;314.3094;309.8143;302.5498;303.6188;309.4446;306.9949;1.628353;11.79055;7.744327;8.462014;0.490224;0.160278;1.308
Dindori;2012;0.600475;0.386956;0.479896;0.469873;0.726507;0.632655;0.531405;0.827549;0.263527;0.864904;2.0867;1.819523;1.338965;3.855986;22.59167;21.88944;33.72129;19.63863;10.54567;313.5328;310.1331;300.4247;302.0822;303.0875;300.5382;4.402194;17.76208;17.17223;5.982475;0.827457;0.670044;0.557915
Guna;2012;1.276086;0.254258;0.394003;0.541513;0.587132;0.398203;0.345172;0.305928;0.255528;1.139427;1.936941;0.752249;0.479649;4.192478;17.76075;22.15115;28.46548;8.027203;4.424032;316.2442;314.3431;301.3892;304.1256;309.2858;305.9155;0.705201;11.58229;10.78132;4.157194;0.00328;0.197498;1.402086
Gwalior;2012;1.794557;0.323898;0.457823;0.516943;0.522059;0.427033;0.363795;0.28212;0.505139;0.844312;1.597797;1.001308;0.637064;4.90236;15.09692;23.90601;28.7057;8.815738;5.408615;315.5574;310.7685;302.076;305.39;307.335;302.9733;0.695456;8.652195;10.90367;4.969331;0.184957;0.061056;1.734328
Harda;2012;1.207727;0.308821;0.458855;0.504085;0.572233;0.449134;0.416577;0.462928;0.370363;0.753079;1.601128;0.939673;0.69399;2.708745;23.35161;23.80723;25.30521;11.85746;5.862384;316.133;308.1931;301.4736;304.74;308.9132;305.0179;3.218879;14.77642;10.92343;7.318119;0.631466;0.28227;1.435728
Hoshangabad;2012;0.861998;0.316243;0.42138;0.533696;0.620658;0.524248;0.457382;0.608773;0.385134;0.715951;1.569173;1.309616;0.931045;3.028302;22.7486;20.82824;27.90012;14.2385;7.514074;315.5919;306.7329;301.8391;304.4205;307.2516;302.9855;3.700636;18.21827;15.12092;8.430281;0.651503;0.325288;0.641002
Indore;2012;1.454;0.245;0.33659;0.426653;0.477141;0.378663;0.398716;0.286109;0.311694;0.629802;1.497924;0.712835;0.578679;3.241505;18.8912;18.02177;19.88187;8.205276;5.083037;314.4316;311.7365;300.7703;304.2751;308.982;305.4601;1.98305;13.61137;8.413804;7.283939;0.420586;0.226436;1.161002
Jabalpur;2012;1.335752;0.300087;0.361733;0.567479;0.630832;0.526236;0.444637;0.476033;0.334214;0.829698;1.683125;1.16192;0.776869;1.878041;19.99404;23.73747;28.10407;13.3409;7.027815;315.2156;311.4629;301.1277;303.6486;305.5913;303.1486;3.097442;16.89918;15.92426;4.956203;0.676594;0.330849;0.955324
Jhabua;2012;0.986964;0.225332;0.214592;0.44039;0.589954;0.459677;0.377743;0.319798;0.25233;1.017019;1.490699;1.005866;0.640489;3.583746;18.29882;20.42447;24.58281;10.51597;5.373711;313.8243;311.2252;301.3187;303.4028;309.1115;307.0703;1.280854;11.55071;9.277477;9.99381;0.461241;0.153103;0.681971
Katni;2012;0.769821;0.333428;0.418709;0.574897;0.66743;0.549584;0.449806;0.498568;0.393214;0.90198;1.667948;1.287799;0.819247;3.953287;20.9161;23.14978;29.1667;14.13167;7.429757;315.3023;312.6157;302.285;302.861;304.5534;302.3696;2.369101;16.78876;15.97517;5.697291;0.550418;0.31449;0.45
Mandla;2012;0.611379;0.34836;0.446593;0.544607;0.718565;0.627556;0.527631;0.809531;0.416441;0.816548;2.04457;1.596949;1.178793;2.105237;23.66436;24.10383;34.1542;20.17673;10.69202;314.3283;310.2594;300.7324;302.8133;303.5361;301.1077;3.894105;18.31186;16.42076;6.072278;0.751281;0.423099;0.664832
Mandsaur;2012;1.777;0.238333;0.436861;0.521608;0.446583;0.327701;0.377984;0.235512;0.26028;1.104866;1.256474;0.525182;0.583761;1.938852;14.45515;20.21698;21.56832;5.270831;4.286473;315.1543;315.1459;300.3779;304.7838;310.1626;304.2032;0.527256;9.409553;11.60309;5.32581;0.07515;0.208727;1.383
Morena;2012;1.28869;0.261053;0.478788;0.501305;0.425369;0.341791;0.353106;0.240902;0.405458;0.948899;1.14855;0.642034;0.645359;3.739745;12.42693;21.54541;24.27022;5.547467;4.722246;316.1586;312.7469;302.8972;306.231;308.8674;302.3518;0.521582;8.213749;11.72441;4.525314;0.159499;0.010453;1.22449
Narsinghpur;2012;1.788522;0.327423;0.393604;0.563268;0.639347;0.531189;0.470815;0.545749;0.261908;0.733358;1.579282;1.136041;0.846248;1.885816;20.12355;21.18294;27.25146;13.04856;7.405832;315.3155;309.4689;301.0861;304.9482;307.6085;303.7824;3.328921;15.92032;15.35886;5.585638;0.703223;0.311265;1.630052
Neemuch;2012;1.572325;0.277684;0.466215;0.532967;0.505593;0.376303;0.373337;0.361829;0.393115;1.320708;1.434688;0.750311;0.599038;2.42145;14.29989;22.76663;23.71989;6.805801;4.906138;315.2318;313.9846;302.179;304.574;309.3652;304.2636;0.322623;7.681278;11.76527;6.367989;0.155588;0.095137;0.830224
Panna;2012;0.857369;0.348594;0.507351;0.605959;0.636376;0.504844;0.430652;0.428488;0.568564;1.23339;1.83114;1.145164;0.785254;6.921374;23.80324;27.13013;30.72708;12.73767;7.667225;317.2518;313.9977;301.9969;303.2967;306.7824;303.455;1.586125;15.61531;15.90839;6.816365;0.326944;0.250521;0.626208
Raisen;2012;0.925451;0.30889;0.396165;0.509321;0.630011;0.504987;0.427607;0.396557;0.280601;0.659744;1.455842;1.070801;0.755926;3.131474;20.57421;21.09186;27.48717;12.80953;6.745214;316.3803;311.3144;303.7101;303.8973;307.6849;304.1768;2.94631;14.99751;14.46504;5.205498;0.160588;0.245434;0.72603
Rajgarh;2012;1.228;0.246639;0.323003;0.49308;0.546431;0.36948;0.348884;0.233702;0.201255;0.881745;1.429701;0.546549;0.434975;2.633535;15.91527;18.79768;23.57928;6.400856;3.648171;316.3996;314.5438;301.0202;305.4327;310.7391;306.3427;0.867812;12.48983;11.21461;4.492878;0.099078;0.243701;0.856001
Ratlam;2012;1.5;0.232045;0.300081;0.454908;0.520196;0.367755;0.392313;0.243722;0.202301;0.922911;1.223273;0.632272;0.557236;2.480151;13.67796;18.51907;21.81363;7.009381;4.624256;314.7154;308.9002;301.9393;305.5482;311.1477;306.1827;0.977385;11.21736;9.090813;7.753785;0.198238;0.189648;1.259999
Rewa;2012;0.583232;0.27281;0.382581;0.620985;0.612286;0.518027;0.411488;0.248912;0.366449;1.027949;1.288512;0.940692;0.581738;1.682317;16.51936;25.55795;25.20443;10.43138;6.421546;318.1763;311.3514;303.3332;303.4177;305.5745;302.4707;1.313297;13.33718;11.20599;9.609922;0.50989;0.249636;0.514395
